date,weekday,name,type,country
1/1/2000,Saturday,International New Year's Day,National holiday,VN
3/1/2000,Monday,International New Year's Day observed,National holiday,VN
4/2/2000,Friday,Vietnamese New Year's Eve,National holiday,VN
5/2/2000,Saturday,Vietnamese New Year,National holiday,VN
6/2/2000,Sunday,Tet holiday,National holiday,VN
7/2/2000,Monday,Tet holiday,National holiday,VN
8/2/2000,Tuesday,Tet holiday,National holiday,VN
9/2/2000,Wednesday,Tet holiday,National holiday,VN
14/04/2000,Friday,Hung Kings Festival,National holiday,VN
30/04/2000,Sunday,Liberation Day/Reunification Day,National holiday,VN
1/5/2000,Monday,Liberation Day/Reunification Day observed,National holiday,VN
2/5/2000,Tuesday,International Labor Day observed,National holiday,VN
2/9/2000,Saturday,Independence Day,National holiday,VN
4/9/2000,Monday,Independence Day observed,National holiday,VN
1/1/2001,Monday,International New Year's Day,National holiday,VN
23/01/2001,Tuesday,Vietnamese New Year's Eve,National holiday,VN
24/01/2001,Wednesday,Vietnamese New Year,National holiday,VN
25/01/2001,Thursday,Tet holiday,National holiday,VN
26/01/2001,Friday,Tet holiday,National holiday,VN
27/01/2001,Saturday,Tet holiday,National holiday,VN
28/01/2001,Sunday,Tet holiday,National holiday,VN
3/4/2001,Tuesday,Hung Kings Festival,National holiday,VN
30/04/2001,Monday,Liberation Day/Reunification Day,National holiday,VN
1/5/2001,Tuesday,International Labor Day,National holiday,VN
2/9/2001,Sunday,Independence Day,National holiday,VN
3/9/2001,Monday,Independence Day observed,National holiday,VN
1/1/2002,Tuesday,International New Year's Day,National holiday,VN
11/2/2002,Monday,Vietnamese New Year's Eve,National holiday,VN
12/2/2002,Tuesday,Vietnamese New Year,National holiday,VN
13/02/2002,Wednesday,Tet holiday,National holiday,VN
14/02/2002,Thursday,Tet holiday,National holiday,VN
15/02/2002,Friday,Tet holiday,National holiday,VN
16/02/2002,Saturday,Tet holiday,National holiday,VN
22/04/2002,Monday,Hung Kings Festival,National holiday,VN
30/04/2002,Tuesday,Liberation Day/Reunification Day,National holiday,VN
1/5/2002,Wednesday,International Labor Day,National holiday,VN
2/9/2002,Monday,Independence Day,National holiday,VN
1/1/2003,Wednesday,International New Year's Day,National holiday,VN
31/01/2003,Friday,Vietnamese New Year's Eve,National holiday,VN
1/2/2003,Saturday,Vietnamese New Year,National holiday,VN
2/2/2003,Sunday,Tet holiday,National holiday,VN
3/2/2003,Monday,Tet holiday,National holiday,VN
4/2/2003,Tuesday,Tet holiday,National holiday,VN
5/2/2003,Wednesday,Tet holiday,National holiday,VN
11/4/2003,Friday,Hung Kings Festival,National holiday,VN
30/04/2003,Wednesday,Liberation Day/Reunification Day,National holiday,VN
1/5/2003,Thursday,International Labor Day,National holiday,VN
2/9/2003,Tuesday,Independence Day,National holiday,VN
1/1/2004,Thursday,International New Year's Day,National holiday,VN
21/01/2004,Wednesday,Vietnamese New Year's Eve,National holiday,VN
22/01/2004,Thursday,Vietnamese New Year,National holiday,VN
23/01/2004,Friday,Tet holiday,National holiday,VN
24/01/2004,Saturday,Tet holiday,National holiday,VN
25/01/2004,Sunday,Tet holiday,National holiday,VN
26/01/2004,Monday,Tet holiday,National holiday,VN
28/04/2004,Wednesday,Hung Kings Festival,National holiday,VN
30/04/2004,Friday,Liberation Day/Reunification Day,National holiday,VN
1/5/2004,Saturday,International Labor Day,National holiday,VN
3/5/2004,Monday,International Labor Day observed,National holiday,VN
2/9/2004,Thursday,Independence Day,National holiday,VN
1/1/2005,Saturday,International New Year's Day,National holiday,VN
3/1/2005,Monday,International New Year's Day observed,National holiday,VN
8/2/2005,Tuesday,Vietnamese New Year's Eve,National holiday,VN
9/2/2005,Wednesday,Vietnamese New Year,National holiday,VN
10/2/2005,Thursday,Tet holiday,National holiday,VN
11/2/2005,Friday,Tet holiday,National holiday,VN
12/2/2005,Saturday,Tet holiday,National holiday,VN
13/02/2005,Sunday,Tet holiday,National holiday,VN
18/04/2005,Monday,Hung Kings Festival,National holiday,VN
30/04/2005,Saturday,Liberation Day/Reunification Day,National holiday,VN
1/5/2005,Sunday,International Labor Day,National holiday,VN
2/5/2005,Monday,Liberation Day/Reunification Day observed,National holiday,VN
3/5/2005,Tuesday,International Labor Day observed,National holiday,VN
2/9/2005,Friday,Independence Day,National holiday,VN
1/1/2006,Sunday,International New Year's Day,National holiday,VN
2/1/2006,Monday,International New Year's Day observed,National holiday,VN
28/01/2006,Saturday,Vietnamese New Year's Eve,National holiday,VN
29/01/2006,Sunday,Vietnamese New Year,National holiday,VN
30/01/2006,Monday,Tet holiday,National holiday,VN
31/01/2006,Tuesday,Tet holiday,National holiday,VN
1/2/2006,Wednesday,Tet holiday,National holiday,VN
2/2/2006,Thursday,Tet holiday,National holiday,VN
7/4/2006,Friday,Hung Kings Festival,National holiday,VN
30/04/2006,Sunday,Liberation Day/Reunification Day,National holiday,VN
1/5/2006,Monday,Liberation Day/Reunification Day observed,National holiday,VN
1/5/2006,Monday,International Labor Day,National holiday,VN
2/5/2006,Tuesday,International Labor Day observed,National holiday,VN
2/9/2006,Saturday,Independence Day,National holiday,VN
4/9/2006,Monday,Independence Day observed,National holiday,VN
1/1/2007,Monday,International New Year's Day,National holiday,VN
17/02/2007,Saturday,Vietnamese New Year's Eve,National holiday,VN
18/02/2007,Sunday,Vietnamese New Year,National holiday,VN
19/02/2007,Monday,Tet holiday,National holiday,VN
